Movie_name,Movie_release_date
Do Bigha Zamin,1954
No Other Nominees,1954
Boot Polish,1955
No Other Nominees,1955
Jagriti,1956
Azaad,1956
Biraj Bahu,1956
Jhanak Jhanak Payal Baaje,1957
No Other Nominees,1957
Mother India,1958
No Other Nominees,1958
Madhumati,1959
Sadhna,1959
Talaaq,1959
Sujata,1960
Anari,1960
Chhoti Bahen,1960
Mughal-e-Azam,1961
Masoom,1961
Parakh,1961
Jis Desh Men Ganga Behti Hai,1962
Gunga Jumna,1962
Kanoon,1962
Sahib Bibi Aur Ghulam,1963
Bees Saal Baad,1963
Rakhi,1963
Bandini,1964
Dil Ek Mandir,1964
Gumrah,1964
Dosti,1965
Sangam,1965
Shehar Aur Sapna,1965
Himalaya Ki God Mein,1966
Haqeeqat,1966
Waqt,1966
Guide,1967
Anupama,1967
Mamta,1967
Upkar,1968
Mehrban,1968
Milan,1968
Brahmachari,1969
Ankhen,1969
Neel Kamal,1969
Aradhana,1970
Aashirwad,1970
Jeene Ki Raah,1970
Khilona,1971
Do Raaste,1971
Pehchaan,1971
Anand,1972
Mera Naam Joker,1972
Naya Zamana,1972
Be-Imaan,1973
Anubhav,1973
Pakeezah,1973
Anuraag,1974
Aaj Ki Taaza Khabar,1974
Bobby,1974
Koshish,1974
Zanjeer,1974
Rajnigandha,1975
Ankur,1975
Garm Hava,1975
Kora Kagaz,1975
Roti Kapda Aur Makaan,1975
Deewaar,1976
Aandhi,1976
Amanush,1976
Sanyasi,1976
Sholay,1976
Mausam,1977
Chhoti Si Baat,1977
Chitchor,1977
Kabhi Kabhie,1977
Tapasya,1977
Bhumika,1978
Amar Akbar Anthony,1978
Gharaonda,1978
Manthan,1978
Swami,1978
Main Tulsi Tere Aangan Ki,1979
Ankhiyon Ke Jharokhon Se,1979
Muqaddar Ka Sikandar,1979
Shatranj Ke Khilari,1979
Trishul,1979
Junoon,1980
Amar Deep,1980
Kaala Patthar,1980
Noorie,1980
Sargam,1980
Khubsoorat,1981
Aakrosh,1981
Aasha,1981
Insaaf Ka Tarazu,1981
Thodisi Bewafaii,1981
Kalyug,1982
Baseraa,1982
Chakra,1982
Chashme Buddoor,1982
Ek Duuje Ke Liye,1982
Shakti,1983
Bazaar,1983
Nikaah,1983
Prem Rog,1983
Vidhaata,1983
Ardh Satya,1984
Arth,1984
Avtaar,1984
Betaab,1984
Masoom,1984
Sparsh,1985
Aaj Ki Awaaz,1985
Jaane Bhi Do Yaaro,1985
Saaransh,1985
Sharaabi,1985
Ram Teri Ganga Maili,1986
Arjun,1986
Ghulami,1986
Meri Jung,1986
Saagar,1986
Tawaif,1986
No Award,1987
No Award,1988
Qayamat Se Qayamat Tak,1989
Khoon Bhari Maang,1989
Tezaab,1989
Maine Pyar Kiya,1990
Chandni,1990
Parinda,1990
Ram Lakhan,1990
Salaam Bombay!,1990
Ghayal,1991
Agneepath,1991
Dil,1991
Pratibandh,1991
Lamhe,1992
Dil Hai Ki Manta Nahin,1992
Henna,1992
Saajan,1992
Saudagar,1992
Jo Jeeta Wohi Sikandar,1993
Beta,1993
Khuda Gawah,1993
Hum Hain Rahi Pyar Ke,1994
Aankhen,1994
Baazigar,1994
Damini,1994
Darr,1994
Khalnayak,1994
Hum Aapke Hain Koun..!,1995
1942: A Love Story,1995
Andaz Apna Apna,1995
Krantiveer,1995
Mohra,1995
Dilwale Dulhania Le Jayenge,1996
Akele Hum Akele Tum,1996
Karan Arjun,1996
Raja,1996
Rangeela,1996
Raja Hindustani,1997
Agni Sakshi,1997
Bandit Queen,1997
Khamoshi: The Musical,1997
Maachis,1997
Dil To Pagal Hai,1998
Border,1998
Gupt,1998
Pardes,1998
Virasat,1998
Kuch Kuch Hota Hai,1999
Ghulam,1999
Pyaar Kiya To Darna Kya,1999
Pyaar To Hona Hi Tha,1999
Satya,1999
Hum Dil De Chuke Sanam,2000
Biwi No.1,2000
Sarfarosh,2000
Taal,2000
Vaastav,2000
Kaho Naa... Pyaar Hai,2001
Dhadkan,2001
Josh,2001
Mission Kashmir,2001
Mohabbatein,2001
Lagaan,2002
Asoka,2002
Dil Chahta Hai,2002
Gadar: Ek Prem Katha,2002
Kabhi Khushi Kabhie Gham...,2002
Devdas,2003
Company,2003
Humraaz,2003
Kaante,2003
Raaz,2003
Koi... Mil Gaya,2004
Baghban,2004
Kal Ho Naa Ho,2004
Munna Bhai M.B.B.S.,2004
Tere Naam,2004
Veer-Zaara,2005
Dhoom,2005
Hum Tum,2005
Main Hoon Na,2005
Swades,2005
Black,2006
Bunty Aur Babli,2006
No Entry,2006
Page 3,2006
Parineeta,2006
Rang De Basanti,2007
Dhoom 2,2007
Don,2007
Kabhi Alvida Naa Kehna,2007
Krrish,2007
Lage Raho Munna Bhai,2007
Taare Zameen Par,2008
Chak De! India,2008
Guru,2008
Jab We Met,2008
Om Shanti Om,2008
Jodhaa Akbar,2009
Dostana,2009
Ghajini,2009
Jaane Tu... Ya Jaane Na,2009
Rab Ne Bana Di Jodi,2009
Rock On!!,2009
3 Idiots,2010
Dev.D,2010
Kaminey,2010
Love Aaj Kal,2010
Paa,2010
Wake Up Sid,2010
Dabangg,2011
Band Baaja Baaraat,2011
My Name Is Khan,2011
Peepli Live,2011
Udaan,2011
Zindagi Na Milegi Dobara,2012
Delhi Belly,2012
Don 2,2012
No One Killed Jessica,2012
Rockstar,2012
The Dirty Picture,2012
Barfi!,2013
English Vinglish,2013
Gangs of Wasseypur,2013
Kahaani,2013
Vicky Donor,2013
Bhaag Milkha Bhaag,2014
Chennai Express,2014
Goliyon Ki Raasleela Ram-Leela,2014
Raanjhanaa,2014
