Movie_name,Movie_release_date,Ratings,Wikipedia_movie_ID,Movie_box_office_revenue,Nomination,diversity,actor_number
'R Xmas,2001,5.7,24799628,,False,1.9426950408889636,4
'Til There Was You,1997,4.8,17841580,3525125.0,False,0.36073181766652895,5
'Til We Meet Again,1940,6.7,16038391,,False,0.9713475204444818,2
"'night, Mother",1986,7.6,8098268,,False,0.18033688011112042,2
*batteries not included,1987,6.6,3762449,65088797.0,False,0.9713475204444818,2
.45,2006,5.5,4441267,,False,0.9713475204444818,2
1 a Minute,2010,6.3,24863901,,False,2.3952451889308066,7
10,1979,6.1,832232,74865517.0,True,0.633947652638736,3
10 Items or Less,2006,6.5,8167617,,False,1.9718967441318,6
10 Things I Hate About You,1999,7.3,398934,53478166.0,False,1.092765960500042,4
10 to Midnight,1983,6.3,14979283,7175592.0,False,0.9713475204444818,2
"10,000 BC",2008,5.1,4223800,269784201.0,False,0.9713475204444818,2
100 Days,1991,6.3,8422241,,False,0.12022458674074694,3
100 Feet,2008,5.4,12138219,,False,0.9713475204444818,2
100 Mile Rule,2002,5.6,22470177,,False,0.9713475204444818,2
100 Rifles,1969,6.0,1843039,3500000.0,False,2.383850824833045,5
101 Dalmatians,1996,5.7,179326,320689294.0,False,0.9713475204444818,2
102 Dalmatians,2000,4.8,1682418,183611771.0,True,1.092765960500042,4
10:10,2008,8.3,20460767,,False,0.9713475204444818,2
10th & Wolf,2006,6.3,3555951,,False,0.2483616328828753,7
11 Harrowhouse,1974,6.2,5083097,,False,1.4782619058470117,3
11:14,2003,7.1,2763171,,False,1.092765960500042,4
12 Angry Men,1957,9.0,92605,1000000.0,True,0.633947652638736,3
12 Rounds,2009,5.6,15169291,18184083.0,False,0.9713475204444818,2
127 Hours,2010,7.5,25244870,61738797.0,True,0.9713475204444818,2
13,2010,6.0,21798180,,False,1.687393134834616,7
13 Going on 30,2004,6.3,607444,96455697.0,False,0.4620835257796325,4
13 Moons,2002,5.6,2026601,,False,1.092765960500042,4
13 Rue Madeleine,1947,6.9,15357779,,False,0.633947652638736,3
1408,2007,6.8,4639222,131998242.0,False,1.092765960500042,4
15 Maiden Lane,1936,6.5,9084534,,False,0.9713475204444818,2
15 Minutes,2001,6.1,3390263,,False,0.9595524032231776,8
16 Blocks,2006,6.6,2190622,65664721.0,False,0.9713475204444818,2
17 Again,2009,6.4,14545761,136267476.0,False,1.092765960500042,4
1871,1990,6.3,12812197,,False,0.9713475204444818,2
1900,1976,7.6,909006,,False,1.092765960500042,4
1911,2011,5.7,31269440,,False,0.18033688011112042,2
1920,2008,6.4,18850187,,False,0.18033688011112042,2
1941,1979,5.8,1329088,,True,0.633947652638736,3
1942: A Love Story,1994,7.2,2428475,,True,0.07213475204444818,5
1984,1984,7.1,14254136,8430492.0,False,0.12022458674074694,3
1990: The Bronx Warriors,1982,5.2,18982622,,False,0.9713475204444818,2
1996: Pust på meg!,1997,5.6,28352399,,False,0.12022458674074694,3
2 Become 1,2006,6.1,13377058,1312395.0,False,0.18033688011112042,2
2 Days in the Valley,1996,6.5,1526194,11132900.0,False,0.6114502088735427,7
2 Fast 2 Furious,2003,5.9,407288,236350661.0,False,1.5385416516886434,5
"2 Little, 2 Late",1999,7.7,15346826,,False,0.633947652638736,3
2 Young,2005,6.5,2014153,,False,0.18033688011112042,2
"20,000 Leagues Under the Sea",1916,6.1,5813580,,True,0.9713475204444818,2
"20,000 Leagues Under the Sea",1954,7.2,5516824,11267000.0,True,0.9713475204444818,2
200 Cigarettes,1999,6.0,677920,6852450.0,False,1.9718967441318,6
200 Motels,1971,5.6,900780,,False,0.9713475204444818,2
2001 Maniacs,2005,5.3,7034456,,False,0.9713475204444818,2
2010: The Year We Make Contact,1984,6.7,1195560,40400657.0,False,1.687393134834616,7
2012,2009,5.8,18436536,769679473.0,False,1.9718967441318,6
2046,2004,7.4,213462,19470239.0,False,0.4620835257796325,4
21,2008,6.8,10433895,157927340.0,False,0.633947652638736,3
21 Grams,2003,7.6,468326,60427839.0,True,2.383850824833045,5
21 Jump Street,2012,7.2,33509716,201585328.0,False,1.2815126662683904,6
23rd March 1931: Shaheed,2002,5.3,7905624,,False,0.18033688011112042,2
24 Hour Party People,2002,7.3,360138,2781211.0,False,0.12022458674074694,3
24 Hrs,2010,6.9,28685424,,False,0.18033688011112042,2
25th Hour,2002,7.6,695700,23928503.0,False,1.9426950408889636,4
27 Dresses,2008,6.1,13439139,160259319.0,False,0.8548553575682338,5
28 Days,2000,6.1,2470904,62198945.0,False,0.4620835257796325,4
28 Days Later,2002,7.5,145892,82719885.0,False,0.18033688011112042,2
28 Weeks Later,2007,6.9,5971538,64238440.0,False,0.9713475204444818,2
29 Palms,2002,4.7,13210792,,False,1.2605435689860718,6
3 Backyards,2010,5.0,29952113,,False,0.09016844005556021,4
3 Deewarein,2003,7.8,5721950,,False,0.18033688011112042,2
3 Ninjas Kick Back,1994,4.6,3278100,11798854.0,False,0.18033688011112042,2
3 Ninjas: High Noon at Mega Mountain,1998,3.0,4610810,375805.0,False,0.9713475204444818,2
3 Ring Circus,1954,5.9,6724790,4000000.0,False,0.12022458674074694,3
3 Strikes,2000,4.7,5877719,9832166.0,False,0.633947652638736,3
30 Days,1999,5.0,28790520,,False,0.9713475204444818,2
30 Days of Night,2007,6.6,6941760,102254137.0,False,0.9713475204444818,2
30 Minutes or Less,2011,6.1,28370864,40000000.0,False,2.383850824833045,5
300,2006,7.6,2465797,,False,0.633947652638736,3
3000 Miles to Graceland,2001,6.0,718302,18720175.0,False,1.4782619058470117,3
32A,2007,6.5,23525900,,False,0.9713475204444818,2
36 China Town,2006,5.8,4768207,,False,0.2483616328828753,7
360,2011,6.1,29026343,,False,0.8775019826331378,5
365 Nights in Hollywood,1934,5.6,17007116,,False,0.18033688011112042,2
36th Precinct,2004,7.1,2809683,,False,0.9713475204444818,2
3:10 to Yuma,2007,7.6,4270540,70016220.0,True,1.5385416516886434,5
4 for Texas,1963,5.5,8900180,,False,0.633947652638736,3
4 the People,2004,6.3,8904214,,False,0.12022458674074694,3
40 Carats,1973,6.4,9509553,,False,0.9713475204444818,2
40 Days and 40 Nights,2002,5.6,887457,95146283.0,False,0.4620835257796325,4
44 Inch Chest,2009,5.8,18986931,247553.0,False,1.4782619058470117,3
48 Hrs.,1982,6.9,2436406,78868508.0,False,0.9713475204444818,2
5 Branded Women,1960,6.6,26057620,,False,0.9713475204444818,2
5 Card Stud,1968,6.4,1346925,,False,0.18033688011112042,2
50 First Dates,2004,6.8,477099,196482882.0,False,0.633947652638736,3
50/50,2011,7.6,28150124,39187783.0,False,0.633947652638736,3
52 Pick-Up,1986,6.4,1468747,5186646.0,False,0.9713475204444818,2
54,1998,5.9,686213,16757163.0,False,0.6974642862568391,6
55 Days at Peking,1963,6.7,962502,,True,0.9713475204444818,2
6'2,2005,3.9,16168362,,False,0.18033688011112042,2
8 Heads in a Duffel Bag,1997,5.4,3787708,3602884.0,False,0.633947652638736,3
8 Mile,2002,7.2,11014779,242875078.0,True,0.9713475204444818,2
8 Million Ways to Die,1986,5.7,1670656,,False,0.9713475204444818,2
8 Women,2002,7.0,2594435,42426583.0,False,0.9713475204444818,2
84 Charing Cross Road,1987,7.4,15861151,1083486.0,False,0.9713475204444818,2
88 Antop Hill,2003,4.7,9851844,,False,0.12022458674074694,3
88 Minutes,2007,5.9,4059223,32573503.0,False,0.9713475204444818,2
8½,1963,8.0,318810,,True,1.4782619058470117,3
9,2009,7.0,12940547,48428063.0,True,0.3856340676232596,5
9 Songs,2004,4.7,1508787,,False,0.9713475204444818,2
90 Ghanta,2008,5.1,19256291,,False,0.9713475204444818,2
99,2009,7.3,22542726,,False,0.9713475204444818,2
9½ Weeks,1986,5.9,1896864,6734844.0,False,0.18033688011112042,2
A Beautiful Mind,2001,8.2,3569822,313542341.0,True,1.5385416516886434,5
A Beginner's Guide to Endings,2010,6.3,25485450,,False,1.4782619058470117,3
A Big Hand for the Little Lady,1966,7.3,6788669,,False,0.633947652638736,3
A Breed Apart,1984,5.6,15738569,,False,0.9713475204444818,2
A Bridge Too Far,1977,7.4,89397,50750000.0,False,1.2605435689860718,6
A Broken Life,2007,4.9,12491178,,False,1.4782619058470117,3
A Bronx Tale,1993,7.8,591309,,False,0.9713475204444818,2
A Buddy Story,2010,6.1,35235985,,False,0.9713475204444818,2
A Bug's Life,1998,7.2,460442,363398565.0,True,0.4620835257796325,4
A Bullet for Joey,1955,6.0,25751847,,False,0.633947652638736,3
A Business Affair,1994,5.5,15687214,,False,1.092765960500042,4
A Change of Seasons,1980,5.2,15131446,,False,0.9713475204444818,2
